artist,title,lyrics,mood,year
Robben Ford,Something For The Pain,"Time to search my soul
Now that I'm alone
And I need you

Lessons from the past
Say nothin' ever lasts
But I need you

This I know for sure
They'll never be a cure
So, give me somethin' for the pain
So, give me somethin' for the pain

Taking my world apart
It's written in my heart
That I need you

You'd been runnin' through my veins
Before I knew your name
And I need you

One thing I know for sure
They'll never be a cure
After findin' her love so pure
So, give me somethin' for the pain, yeah
Give me somethin' for the pain

One day I'll be a different me
And fly out an open door
Then I will be that day set free
And dream of you no more
Dream of you no more

One thing I know for sure
They'll never be a cure
After findin' her love so pure
So, give me somethin' for the pain
Give me somethin' for the pain
Give me somethin' for the pain
Give me somethin' for the pain",sad,2002
Anti-Flag,This Is NOT a Crass Song,"You're walking down the street in the middle of the day
The sun is shinning brightly everything is quite OK
But then you hear this song, it makes you stop and yell out, HEY!
You might think that it is...

BUT THIS IS NOT A CRASS SONG!

You might think that it is but I'm telling you it ain't!
Although I will admit it sounds like something they might write
It's a happy little ditty makes you stomp and move your feet
You might think that this is...

BUT THIS IS NOT A CRASS SONG!

Masterpieces don't usually get written in a minute
But this one took just seconds or even less time to pen it
But don't be too amazed 'cause it's just got one verse and chantin'
You might think that this is...

Ahh...right..it's not a crass song is it?

The guitar rift is real savage and it ain't all that on time
The vocals are so Cockney that they may just blow your mind
And it's got made up words like, icklee, zicklee, vin, and plime
You might think that it is...

BUT THIS IS NOT A CRASS SONG!

We like to play it in the morning like to play it in the night
Do yourself a favor matey, sing it instead of starting fights
After only just one verse I'm telling you you'll feel all right
You might think that it is...

BUT THIS IS NOT A CRASS SONG!

Play it when you're walking, walking down the street
Play it when you're riding on your bike or on your feet
Doesn't really matter ' cause it's really really neat
You might think that it is...

Ahhh...

Sing it to your mommy, sing it to your dad
Sing it to your new girl friend or the one that you just had...

Hello? Right uh, so, right, hello I'm from England right? 
Uh, I love the Teletubbies, uh Teletubbies my favorite show,
Hello? Anybody there? Right...",happy,1999
Rickie Lee Jones,Skeletons (Live Acoustic Version),"She was pregnant in May
Now they're on their way
Dashing thru the snow
To St. John's, here we go

Well, it could be a boy
But it's okay if he's girl
Oh, these things that grow out of
The things that we give

We should move to the west side
They still believe in things
That give a kid half a chance

When he pulled off the road
Step in a waltz of ted moon-beams
Said he fit an APB,
A robbery nearby

And he go for his wallet
And they thought he was going for a gun
And the cops blew Bird away

Some kids like watching Saturday cartoons
Some girls listen to records all day in their rooms
But what do birds leave behind, of the wings that they came with
If a son's in a tree building model planes?

Skeletons,
Skeletons.",sad,1981
Shelby Lynne,Old Times Sake,"Before you go and walk out on me
Take a look around and tell me what you see.
Cause here I stand like an open book
Is there something here you might have overlooked.

And it would be a shame if you leave
And find that freedom ain't what you thought it would be.

The years we had were not all bad
In fact I know the good outweighed the bad.
And now you say that you've grown tired
And you want to be by yourself a while.

It would be a shame if you go
And find that freedom was a long time ago

I know you can't stand for chains to bind you
But they just keep on driving us apart.
And you could go where I would never find you
But could you go far enough to get away from you're heart.

So one more time for old times sake
Come and lay your head upon my chest.
Please don't throw this moment away.
We can forget the bad and take the best.

And if you don't have nothing left to say
Let me hold you one more time for old times sake.
And if you don't have nothing left to say
Let me hold you one more time for old times sake.",sad,2005
Franz Ferdinand,Eleanor Put Your Boots On,"Eleanor, put those boots back on
Kick the heels into the Brooklyn dirt
I know it isn't dignified to run
But if you run, you can run
To the Coney Island roller coaster
Ride to the highest point
And leap across the filthy water
Leap until the Gulf Stream's brought you down
Mm-hmm

I could be there when you land
I could be there when you land

So, Eleanor, take a Greenpoint three-point turn
Towards the hidden sun
You know you are so elegant when you run
Oh, if you run, you can run
To that statue with the dictionary
Climb to her fingernail and leap
Yeah, take an atmospheric leap
And let the jet stream set you down
Mm-hmm

Could be there when you land
I could be there when you land
Could be there when you land

So, Eleanor, put those boots back on
Put the boots back on and run and run
Come on over here
Come on over here
Come on over here
Mm",happy,2005
James Taylor,Steamroller Blues,"Well, I'm a steamroller, baby
I'm bound to roll all over you
Yes, I'm a steamroller, baby
I'm bound to roll all over you
I'm gonna inject your soul with some sweet rock 'n roll
And shoot you full of rhythm and blues

Well, I'm a cement mixer
A churning urn of burning funk
Yes, I'm a cement mixer for you, baby
A churning urn of burning funk
Well, I'm a demolition derby
A hefty hunk of steaming junk

Now, I'm a napalm bomb, baby
Just guaranteed to blow your mind
Yeah, I'm a napalm bomb for you, baby
Guaranteed to blow your mind
And if I can't have your love for my own
Sweet child, won't be nothing left behind.
It seems how lately, baby
I'm a steamroller for you baby child",happy,1970
BigElf,Falling Bombs,"Mother told me not to worry they’re just falling bombs
She said she hasn’t heard that sound since back in Vietnam

Falling Bombs
They’re falling to the earth

Father told me that the world’s collapsing on us all
But television shows elapsing hides the writing on the wall

They’re just falling bombs
Who they falling on?
They’re just falling bombs
Till they’re falling on you

Are you gonna fly when you hear the sirens call?
Are you gonna die in a raging fire ball?
How you gonna live in a world that isn’t there?
Don’t you know there’s bombs’ falling through the air

Mother’s cooking in the kitchen she looks up to sky
She sees a fighter pilots mission and she wonders why

Falling Bombs
They’re falling to the earth

Father sees the situation starting to occur
But before he changed the station it was just another blur

They’re just falling bombs
Who they falling on?
They’re just falling bombs
Till they’re falling on you",sad,2003
Kelly Clarkson,My Life Would Suck Without You,"Guess this means you're sorry, you're standing at my door
Guess this means you take back, all you said before
Like how much you wanted, anyone but me
Said you'd never come back, but here you are again

'Cause we belong together now, yeah
Forever united here somehow, yeah
You got a piece of me, and honestly
My life, would suck, without you

Maybe I was stupid, for telling you goodbye
Maybe I was wrong for, trying to pick a fight

I know that I've got issues, but you're pretty messed up too
Either way I've found out, I'm nothing without you

'Cause we belong together now, yeah
Forever united here somehow, yeah
You got a piece of me, and honestly
My life, would suck, without you

Being with you, is so dysfunctional
I really shouldn't miss you, but I can't let you go, oh yeah

'Cause we belong together now, yeah
Forever united here somehow, yeah
You got a piece of me, and honestly
My life, would suck, without you

'Cause we belong together now, yeah
Forever united here somehow, yeah
You got a piece of me, and honestly
My life, would suck, without you",happy,2009
The Exies,Creeper Kamikaze,"Where you're headed there is no return
You're hell bent on a crash and burn
You think you're winnin but you won't be free
Until you realize there's no enemy

So live
Live on through me
It's time to forgive
The creeper kamikaze

Goin down on a one way flight
You're just dyin to be right
Your time is closing in and that's a sign
Of moving forward on a slow decline

So live
Live on through me
It's time to forgive
The creeper kamikaze

And give 
Give yourself to me
And everything you believe
Well it's the creeper kamikaze

So forgive
The things you cannot hide
Cause when the truth comes in
Your soul opens wide

So live
Live on through me
It's time to forgive
The creeper kamikaze

So forgive
So forgive
So forgive
So forgive",happy,2003
Buzzcocks,Strange Thing,"Strange thing happened one day
Someone thought they heard someone say
Gotta face new directions
Get new expectations
Strange thing happened one day
Someone thought they heard someone say
Get rid of complications
Free yourself from frustrations
Gotta control depression
Gotta control this depression

Strange thing happened today
I thought I heard somebody say
Gotta face new directions
Get new expectations
Strange thing happened today
I thought I heard somebody say
Get rid of complications
Free yourself from frustrations
Gotta control depression
Gotta control this depression

Strange things will happen one day
You think you hear somebody say
Gotta face new directions
Get new expectations
Strange thing will happen one day
You think you hear somebody say
Get rid of complications
Free yourself from your frustrations
Gotta control depression
Gotta gotta control this depression",happy,1980
3 Doors Down,It's Not Me,"Nevermind the face you put on
In front of me
Nevermind the pain
That you've put me ..through

And every little thing you say
And every little thing you do
Makes me doubt all of this

Chorus:
Look what you did
Is this who you wanted me to be?
Well it's not me

Look what you did
Is this how you wanted this to be?
This life you gave away
Was meant for me

Nevermind the trip that you've been on
Or so it seems
Nevermind the lies you told, not truths

And every little thing you said
And every little thing you did
Made me doubt all of this

Chorus:
Look what you did
Is this who you wanted me to be?
Well it's not me

Look what you did
Is this how you wanted this to be?
This life you gave away
Was meant for me

Look what you did
Is this who you wanted me to be?
Well it's not me

Look what you did
Is this how you wanted this to be?
This life you gave away
Was meant for me

Yeahhhhhh

Oh was meant for me, yeah hey yeah hey

Oh No Oh",sad,2003
Ma Rainey,Ma Rainey's Black Bottom,"Now, you heard the rest
Ah, boys, I'm gonna show you the best
Ma Rainey's gonna show you her black bottom

Way down south in Alabamy
I got a friend, they call dancin' Sammy
Who's crazy about all the latest dances
Black bottom stomps and the Jew baby prances

The other night at a swell affair
Soon as the boys found out that I was there
They said, ""Come on, Ma let's go to the cabaret""
Where that band you ought to hear me say""

I want to see that dance you call the black bottom
I wanna learn that dance
Don't you see the dance you call your big black bottom
That'll put you in a trance

All the boys in the neighborhood
They say your black bottom is really good
Come on and show me your black bottom
I want to learn that dance

I want to see the dance you call the black bottom
I want to learn that dance
Come on and show that dance you call your big black bottom
It puts you in a trance

Early last morning 'bout the break of day
Grandpa told my grandma, I heard him say
Get up and show your old man your black bottom
I want to learn that dance

Now I'm gonna show y'all my black bottom
They stay to see that dance
Wait until you see me do my big black bottom
I'll put you in a trance

Ah, do it ma, do it, honey
Look it now Ma, you gettin' kinda rough here
You gotta be yourself now, careful now
Not too strong, not too strong, Ma

I done shown y'all my black bottom
You ought to learn that dance",happy,1927
Zombie Girl,I Want It,"I, I have this need
I need to see you bleed
I need to taste your brain
Oh god it drives me insane

Come, come over here my dear
Theres nothing for you to fear
I need a little piece of your head
So you too can be among the living dead

You know I need it
You know I feel it
You know I want it
Some fresh blood and flesh

Please forgive for me wrong
My desire is umm so strong
I can not help it I have to obey
You know i'll eat you if you choose to stay

Cause i'm an angel
Cause I'm am a devil
Cause I am a lost soul
Feeding off your flesh and blood

You are my angel
You are my lost soul
You are the one I need to kill my desire to feed

You know I need it
You know I feel it
You know I want it
Some fresh blood and flesh

(2x)
Cause I'm a girl
I am a zombie
I am a girl
I am a zombie
I am a girl
I am a zombie
I am a girl
I am a zombie girl

You know I need it
You know I feel it
You know I want it
Some fresh blood and flesh",sad,2006
Bone Thugs-N-Harmony,Murder One,"Verse 1: Flesh N Bone

We in the last five days of these trials and tribulations
And I'm waiting for the Lord oh please don't leave me forsaken
Caught up in the doom prepare for Satan
We facing a situation while I'm drunk and scared
Heavily sedated wonder will I make it to the pearly gates
Or will I burn off in that lake now,
Could you feel the earthquake shaking the dead awake
How many wait it's too late it's over now
Niggas had a lack of faith so life ain't straight, if you incapable,
Having a little trouble a day wid ah fiend or somethin'
Betta plead to bloody Jesus
Watch how the majesty control it
Don't let it go slow down hold on
Now can I get a witness shout Hallelujah,Amen
I'm feeling the Holy Ghost makin' moves through ya
Smooth, I made it to free your mind to the rhythm
I got designed when the world drop dimes
This world you'll fine there's no other like my kind

Hook: Bizzy Bone

Code Murder One, Code Murder One,
Code Murder One, Code Murder One
Murder them mo
(4x)

Verse 2: Bizzy Bone

If the world should end today!
Fully automatic gunning through it
Gunning thangs, red rummed when strumming pain
Mo murda, I heard 'em holla holla, clock dollas
Swallow me baby cause we balling hollow point tips to the CI
Enemies keep rolling, get 'em off that flaunted fluid
Making me nauseous cautious these niggas is flossing
My Nina Ross tossed out I'm slaucing
It's for the auction rapper bop the copper got gospel on 'em
Who wanna magnum?
Who wanna tag 'em?
Bag 'em up ain't no problem, baby(bitch)
Smoked out in high school
Sleeping the fifth grade selling chicken
Gotta get paid we in the kitchen
Cooking up grade and baby go on go grym
Hold on, motherfucking gun
Another fifth took one hood shot she split up
Talking bout the get up for everyone ya lit up and hit up
So huff and make it settle

Hook (2x)

Verse 3: Layzie Bone

Make me push this panic button nigga
We moving like the Panthers in the sixties
Khaki suited booted my thugs recruited
You wit me nigga you wit me
Millitant minded perfect timing it
Always on the incline ah shit
Nigga that's down for the grind ah shit
Keeping real niggas rewinding this,
Deep in the ghetto in the streets ah Cleveland
We call it thieving mind deceiving
Hear the reasons for hustling season
Bottom line money is power
And the power mean muscle
Money and guns stacked up to the ceiling
Nigga get down for his hustle his hustle hustle
Now nigga now what ya gon' do when they come for you
Well I'ma tell ya right now what we gon' do
Scream M-O-G and start blasting
Nigga never did like them boyz in blue
No regards for authorities,
Wanna dump ah nigga up wid the ferozine
Oh you invited to the bloody ass whore scene
Know what I mean you betta get wid the team
Cause this is the soldiers ready for war nigga,
We from way down under nigga been waiting for the day
To let off these rounds it's thunder, it's thunder
Got my mind made up, and if niggas str8 balling up outta control
Just as those hoes nigga rose
On ah mission tryin' ta get that dough
Separated mine through prose,
Open and close just like a case
Place to place ya feeling ya safe
HB all up in my face,
And it just ain't safe it just ain't safe safe
I'm knowing they want me to catch it in war
Boy boy I seek and destroy any nigga that throw the decoy
See me I'm stacked and ripping shit
Taking off my shirt and breaking them sweats
Tattoos all over my body 7 on the stomach,
Skull on my chest, Nine millimetre in my pocket
Ready to buck on the crowd,
As long as that one little nigga
Sagging and bragging and talking loud
Talking about he bout it bout it
Nigga I got yo whole clik
Real niggas don't run they mouth
Real niggas make moves and get rich

Verse 4: Flesh N Bone

Mobbing in ah Expedition
Thinking of ah proposition
Settle my composition
Feeling relentless fucking up gun condition
Mo murda competition,
How many niggas on the frontline
Ready for whateva my nigga wid yo tech nine
Nigga disrespect mine,
How will you lose the chalk
For marrow rip through thine spine
If you wanna listen to what I say
Hey gotta pay intuition,
This ain't no free exploit of an exhibit
Cause, my niggas, to exquisite
I'm so armageddon, just as my Smith & Wesson
Here's a nice slug for you
And my nitrogen glyc bomb
Can land on them newly morgue
I watch when they all come stormin'
So when my one hit 'em up they fall
Let off wid ah little frustration bust my gun
Bullets haul

Hook 4x",sad,2000
Mastodon,Deep Sea Creature,"Knowing right, learning wrong
What you're feeling is pressure
Pulsate new blood

I've seen things you've heard never before
Bones aged in dust
Buy your bite, take the body

Calm, shutting down
You built me
I knew it

I'll never lie, liar
You fed me
I chewed it

I'll never lie, liar
I follow you, covering me
Spirits in pieces
Crumbled and burnt",sad,2001
Radiohead,Subterranean Homesick Alien,"The breath of the morning, I keep forgetting
The smell of the warm summer air
I live in a town where you can't smell a thing
You watch your feet for cracks in the pavement

Up above aliens hover
Making home movies for the folks back home
Of all these weird creatures who lock up their spirits
Drill holes in themselves and live for their secrets

They're all uptight, uptight
Uptight, uptight
Uptight, uptight

I wish that they'd swoop down in a country lane
Late at night when I'm driving
Take me on board their beautiful ship
Show me the world as I'd love to see it

I'd tell all my friends but they'd never believe me
They'd think that I'd finally lost it completely
I'd show them the stars and the meaning of life
They'd shut me away
But I'd be all right
All right
I'm all right
All right

I'm just uptight, uptight
Uptight, uptight
Uptight, uptight
Uptight, uptight

Uptight",sad,1997
Dave Hollister,Tell Me Why,"After all I've done for you, the things you say, the things you do the way you 
treat me. I don't deserve this. I brought you from nothing and turn you into 
something and this the thanks I get, damn.

Tell me why you say things you don't really mean
Tell me why you always wanna fight with me 
When I gave you everything
Tell me why you wanna be so mean
Tell me why you wanna say theses things
Baby girl I don't understand why
Why should I even try

All the things that I did for you how could you (why) just go and change up 
your ways girl what did I do (why) for you just be so cold to me mean to me 
(why) why you trying to say things that hurt feelings (why, why) when you know 
I'm giving you all of me (why, why) when you know I'm giving you  everything 
(why, why) why you keep coming at me so wrong baby all I want to know is

Tell me why you say things you don't really mean
Tell me why you always wanna fight with me 
When I gave you everything
Tell me why you wanna be so mean
Tell me why you wanna say theses things
Baby girl I don't understand why
Why should I even try

Baby girl tell me why is always about you (why) baby why, why you doing the 
things you do (why) why you always cussing at me fussing at me (why) I don't 
deserve the way you speaking to me (why, why) when you know I'm giving you all 
of me (why, why) when you know I'm giving you everything (why, why) why you 
keep coming at me so wrong baby all I want to know is

Tell me why you say things you don't really mean
Tell me why you always wanna fight with me 
When I gave you everything
Tell me why you wanna be so mean
Tell me why you wanna say theses things
Baby girl I don't understand why
Why should I even try

Girl I tried to just be cool with you, you keep trying to play me like a fool 
why do you, keep on testing me constantly seems like you always been ten about 
something ain't no reason for you to trip ain't no reason for you to always act 
like this baby girl I just don't understand

Tell me why you say things you don't really mean
Tell me why you always wanna fight with me 
When I gave you everything
Tell me why you wanna be so mean
Tell me why you wanna say theses things
Baby girl I don't understand why
Why should I even try

Tell me why you say things you don't really mean
Tell me why you always wanna fight with me 
When I gave you everything
Tell me why you wanna be so mean
Tell me why you wanna say theses things
Baby girl I don't understand why
Why should I even try",sad,2006
DMX,Damien,"Ayo X, let's do something for the ladies
I know we got a lot of ladies out here 

Where the ladies at? {ladies go wild}
Aight let's do it
{Blackout beat plays for a second}
{How's It Goin' Down begins, ladies go wild again}
What type of games is being played, how's it going down?
If it's on till it's gone, then I gots to know now
Is you wit me or what, they gon try to give me a nutt
Just honeys wanna give me the butt, wha..
{How's It Goin' Down turns off}
Where the ladies at?
Where the ladies are?
{How's It Goin' Down plays again}
Uh, what type of games is being played, how's it going down?
If it's on till it's gone, then I gots to know now
Is you wit me or what, they gon try to give me a nutt
Just honeys wanna give me the butt, wha..
I'm politicking with this trick and wondering if I'ma creep her
Little hoodrat bitch from 25th named Tenika
Coming through, like I do, you know
Getting my bark on
Knew she was a thug because when I met her she had a 
(scarf on)
5411, size 7 in girls
Babyface, would look like she was 11 with curls
Girlfriend, (what?) remember me, from way back, I'm the same cat
With the wave cap- the motherfucker that tnt used to blaze at
Still here so it's all good
Oh you know my niggas Rich and them doing they thing on 35th Ave
(Man: It's a small hood), and it's all wood, so let me get that number
Hook it up, (aight)
Hit you on da track later on, say wassup
Talking to shorty made me wanna (Do something nice)
Looking at that ass made me wanna (Do something tonight)
And I know right when I see right, shorty looking like she tight
She bite, better give a nigga the green light, we might..

What type of games is being played, how's it going down?
If it's on till it's gone, then I (Gots to know now)
Is you wit me or what, they gon try to give me a nutt
Just honeys wanna give me the butt, wha..
What type of games is being played, (How's it going down?)
If it's on till it's gone, then I (Gots to know now)
Is you wit me or what, they gon try to give me a nutt
Just honeys wanna give me the butt, wha..

I'm getting at shorty like what you need, what you want
Offer nothing, cuz I got you, must you front?
I see you with your baby father but it don't matter
Since you gave me the pussy, (That ass is getting fatter)
Let that nigga play daddy, make moves with me
I'da kept it more than real boo, (Can't lose with me)
Heard he smacked you 'cuz you said my name while y'all was sexin'
Ran up on this cat, thought was me, and started flexin'
You know I ain't even with that
So he gon' have to get that just on tv
Try to creep me, (what?) Leave that nigga sleepy
On the strength of you, that's your kid's daddy
I ain't gon' send him on his way, put him up in  that big caddy
But let him know
Never mind yo, I need you to go
Take this snow up to 150, see Joe
Get that, come back with that
We can split that, sit back
Fuck, puff a L, forget that
You wit dat?

What type of games is being played, (how's it going down?)
If it's on till it's gone, then I (Gots to know now)
Is you wit me or what, they gon try to give me a nutt
Just honeys wanna give me the butt, wha..",happy,1998
Jewel,Serve The Ego (Hani Num Dub),"Mirror, mirror
Do you like what you see?
I'll dance for you
And you'll dance for me

Who says a woman cannot serve?
It would be my pleasure
Who says it is not my destiny
To let you control me

CHORUS
Underneath the disco light
Everybody's feeling alright
Get on your hands and knees
And praise the new deity
Serve the ego, serve the ego

Two ships sailing on a neon sea
Eat the flesh, spit out the seeds
Feathered hair and lam?(pronounced la-may)heels
What turns me on is so surreal

CHORUS

Tutt tutt
To discover
Oh no
Yesterday's lover

CHORUS",happy,2002
Nick Cave & The Bad Seeds,Still In Love,"The cops are hanging around the house
The cars outside look like they've got the blues
The moon don't know if it's day or night
Everybody's creeping around with plastic covers on their shoes
You're making coffee for everyone concerned
Someone points to this and someone points to that
Everyone is saying that you should lie down
But you ain't having none of that
And I say to the sleepy summer rain
With a complete absence of pain
You might think I'm crazy
But I'm still in love with you

Hide your eyes, hide your tears,
Hide your face, my love
Hide your ribbons, hide your bows
Hide your coloured cotton gloves
Hide your trinkets, hide your treasures
Hide your neatly scissored locks
Hide your memories, hide them all
Stuff them in a cardboard box
Or throw them into the street below
Leave them to the wind and the rain and the snow
For you might think I'm crazy
But I'm still in love with you

Call me up, baby, and I will answer your call
Call me up but remember I am no use to you at all

Now, you're standing at the top of the stairs
One hand on the banister, a flower in your hair
The other one resting on your hip
Without a solitary care
I fall to sleep in the summer rain
With no single memory of pain
And you might think I'm crazy
But I'm still in love with you",sad,2003
Bury Your Dead,Closed Eyes,"Someday we will grow tired of these shells
And someday we will lay ourselves to rest
I take you into me
Breathing in you deeply

Some days

Some days, I can feel you burning through my veins
I look to the light
I can feel my eyes burn
Looking down, the ground beneath is falling fast
Shedding the cares of this world

I'm sick
God knows I'm sick of making
Now I'm so sick of making excuses for myself

Now all the saints are dancing with the demons tonight
Welcome me home

I'm home
I'm home
I'm home",sad,2009
G-Unit,Poppin' Them Thangs,"(Hook X2)
(50 Cent)
Every hood we go through
All the gangstas around know my whole crew (Nigga what)
We hold it down like we supposed to
Nigga you can front if you want, we be poppin' them thangs

(50 Cent)
After the VMAs my baby momma cuss my ass out.
I kicked her ass we back friends like Puffy and Steve Stout
Cut the grass around my clique so I could see these sneaks
You see back in the hood it's cuz I see they fake
I preach a sermon about the paper like I'm creflo dollar
I'll pop you punk niggaz like I pop my collar
I'm confused; I like Megan, Monica, and Mya.
Missy's freaky and Brandy's shy, uh
Now take a look at how my lifestyle changed up.
I'm on now, god damn it I done came up.
Now you could find me with the finest hoes.
Choosin' which whip to drive by what match my clothes.
I got a fetish for the stones, heavy on the ice man
If I ain't gotta pistol on me, sure I gotta knife man
Get outta line and I'm lightin' your ass up.
Semi-automatic spray, I'll tighten your ass up (What)

(Hooks X2)

(Lloyd Banks)
Slow down little nigga
Don't exceed your speed
Cuz I will put g's on they fitted like the Negro league
I got connects so I don't need no weed
I've been in LA for a year now
So I don't see no seeds
After I'm done you clappin' the crew
Hell yeah, I fuck fans
Guess what your favorite rapper does too
In a minute I'ma have the jeweler makin' my rims spin
My crew run wild at the Jamaica's at Kingston
Nothin' but bling bling in ya face boy
That's why my neck shine like one of them shirts Puffy and Mase wore
I done find a nympho as soon as I pop a bra
She had my balls head first just like a soccer star
You can only stand next to the man if you proper
Ya'll take care of birds like a animal doctor
Been out and I'm buzzin' niggas just slept on me
So I'm out for revenge like one of bin laden's cousins

(Young Buc)
Read the paper, look at the news
We one the front page
Yeah we in the Bahamas with AK's on the stage
The ice and the Jacob watch make a broke nigga take somethin'
So I gotta keep the four fifth with no safety button
G-Unit getting' money
I know some artists is starvin'
But play the game like they rich to me this shit funny
I know you see me comin'
Cuz on the front of the Maybach
It say payback for those who hated on me
I hate when niggas claim they bangin' a gang
You ain't no crip like snoop
You ain't no blood like game
See I've been having beef
I have my own bullet proof vest
Most of my enemies dead I got about two left
Until my last breath I'm sendin' niggas bullet holes
Innocent bystanders get hit tryin' to be heroes
You know how we roll
Every where that we go
It's fo' fos', calicos, and desert eagles (yeah)

(Hook X2)",sad,2003
Saosin,Bury Your Head,"Bury your head
Bury your head

I was feeling fine
You'll be coming clean tonight
And I'll be falling down with you once again
Call me your valentine, call me once tonight
And haven't said that it's okay

The things you said, I'm rehearsing them
The things you said, I'm rehearsing them

They went back on us
(Closed eyes rolled back couldn't step it up)
I could know him to come on to it
It's the thought that emerges
(Take back couldn't step it up)
I could never love, the idle thing

Bury your head
Has the child smashed you down
And the psalms will never call me again
(Fall down below)
I'll sleep tonight
(when you're okay)
And I haven't said it's okay

The things you said, I'm rehearsing them
The things you said, I'm rehearsing them

They went back on us
(Closed eyes rolled back couldn't step it up)
I could know him to come on to it
It's the thought that emerges
(Take back couldn't step it up)
I could never love, the idle thing

They will been the ones who'll see it all
This is what you call love?!

They stole my life
Sold right and all
They wandered around and round my mouth,
They stole my life
Sold right and all
(Stole it all)
They have been the ones who've seen enough

They went back on us
(Closed eyes rolled back couldn't step it up)
I could know him to come on to when
It's the thought that emerges
(Take back couldn't step it up)
I could never love, the idle thing

You'll be coming clean tonight...",sad,2005
Warren Barfield,Shadow,"I know my shady little shadow 
Would've left me long ago 
If he wasn't tied to my feet 
He's always been a scared one 
Turn off the lights and he runs 
Nowhere to be seen 

I am lonely only when I'm alone 

I need more than a shadow 
Someone that won't go 
Whenever life grows dark 
You're the only one I know 
Whose love never lets go 
We'll never be apart 
Never be apart 

You and me, we've got a good thing 
We move so smoothly 
You lead and I will follow 
You're closer than a brother 
I'm a book, You're the cover 
You surround my soul 

With You only my lonely is gone 

You're so much more than a shadow 
Someone that won't go 
Whenever life grows dark 
You're the only one I know 
Whose love never lets go 
We'll never be apart 

Never be apart 
You eclipse my heart",happy,2006
Dilated Peoples,Big Business,"(Rakaa Iriscience)
no questions
I pledge resistance to the grass
that hides the snakes of America
so they watch it, now I walk with caution
more careful put more thought to options
Is the opposite of progress Congress?
From the school to the street we're beyond stress
but I fight for peace, that's what the problem is
war is big biz, ask an economist
speak in volumes callin' anti-war and anti-American synonymous
Back in the day I would've gotten black listed just for speakin' up
Hoover probably would've screamed Communist!
I want black and brown unity
but cats get out to bring the jail to the community
Fightin's nothin' new to me
I even corrected what the public school system tried to do to me
Here's a spark encoded in rhyme and love for everyone of the devoted in line...
We call it art, some call it a crime
it's the rap Michael Moore, like Bowling for Columbine
on drums, Fahrenheit, 9-1-1
Al Queda hit the Apple and the world was stunned
the villain trained by the hero for the killing
now you twist $20 bills to see buildings
Under heavy surveillance
they might call you a traitor if you want something greater
Don't get me wrong, America's a great place to live
just listen to the knowledge I give
if more than half the budget goes to military spending
less than half goes to whatever it's defending
One nation, many gods, individuals with liberties
and justice for all who are miserable

(voice in Spanish: escuscha la verdad en la musica)

(Voice)
yeah Babu, Dilated Peoples
Neighborhood Watch, worldwide
Expansion, Iriscience
Evidence, Babu",sad,2004
Fever Ray,I'm Not Done,"So, I lost my head a while ago 
But you seem to have done no better 

We, we set fire in the snow 
It ain't over, I'm not done 

Some do magic 
Some do harm 
I'm holding on, holding on 
I'm holding on to a straw 

Who is the Alpha
And what is made of cloth 
How do you say you're sorry and there's nothing 
to be afraid of? 

Is it dark already 
How light is a light 
Do you laugh while screaming 
Is it cold outside? 

One thing I know for certain 
Oh I'm pretty sure 
It ain't over 
I'm not done",happy,2009
Johnny Cash,I Got Stripes (Live),"On a monday I was ar-rested (uh huh)
On a tuesday they locked me in the jail (oh boy)
On a wednesday my trial was at-tested
On a thursday they said guilty and the judge's gavel fell

I got stripes --- stripes around my shoulders
I got chains --- chains around my feet
I got stripes --- stripes around my shoulders
And them chains --- them chains they're about to drag me down

On a monday my momma come to see me
On a tuesday they caught me with a file
On a wednesday i'm down in solitary
On a thursday I start on bread and water for a while

I got stripes --- stripes around my shoulders
I got chains --- chains around my feet
I got stripes --- stripes around my shoulders
And them chains --- them chains they're about to drag me down

I got stripes --- stripes around my shoulders
I got chains --- chains around my feet
I got stripes --- stripes around my shoulders
And them chains --- them chains they're about to drag me",happy,2006
Autumnblaze,Her Golden Robe In Silence Veiled,"Shes standind here like carved in stone
In silence veiled, her withered cheek
A childhood queen without a throne
My dreamless sleeping child
Red sorrows grinning through my veins
My voice unheard, unseen the tears
Im waiting where the moonsun reigns
My garden whispers tunes
Hear my voice and drink my tears
I await you with firetunes
Veiled in everlasting silence
But once your heart was full of tunes
As we danced as one with the dryads of July
Ashra
Autumnal storms of endless grey
The harvester will sorrow reap
You saw the spring, the spring in May
Mein Feuerlilienstern
Hear my voice...
Wenn Wesen, die die Sonne schuf
In Schlaf und Weltennacht versinken
Wenn ungehört verhallt mein Ruf
Will ich den Kelch des Todes trinken
Remember my voice and sink in your soul
I wove you a solar crown",sad,1999
